cite_key	doi	route	http	bytes	is_pdf	url	why
Li23f	10.3390/jmse11010215	unpaywall	403	0	NO	https://dx.doi.org/10.3390/jmse11010215	split-pressure MPS with virtual particle, open question a
Li23f	10.3390/jmse11010215	unpaywall	403	0	NO	https://www.mdpi.com/2077-1312/11/1/215/pdf?version=1673610348	split-pressure MPS with virtual particle, open question a
Li23f	10.3390/jmse11010215	doi.org	403	0	NO	https://doi.org/10.3390/jmse11010215	split-pressure MPS with virtual particle, open question a
Vau20	10.1016/bs.aams.2019.11.001	unpaywall	200	169624	NO	https://figshare.com/articles/journal_contribution/Material_point_method_after_25_years_Theory_implementation_and_applications/20687032	MPM after 25 years, review
Vau20	10.1016/bs.aams.2019.11.001	doi.org	200	2693	NO	https://doi.org/10.1016/bs.aams.2019.11.001	MPM after 25 years, review
Xio24	10.1029/2023wr036739	unpaywall	403	0	NO	https://doaj.org/article/2c5b33671be44c48bca4d8a4d2c40579	the one bibliography entry that is never cited
Xio24	10.1029/2023wr036739	unpaywall+scrape	200	7328829	YES	https://figshare.com/articles/journal_contribution/Simulation_of_the_full_process_dynamics_of_floating_vehicles_driven_by_flash_floods/27961596/1/files/50994903.pdf	the one bibliography entry that is never cited
Azh26	10.1111/jfr3.70181	unpaywall	403	0	NO	https://doi.org/10.1111/jfr3.70181	vehicle stability under unsteady flow, 2026, open question e
Azh26	10.1111/jfr3.70181	doi.org	403	0	NO	https://doi.org/10.1111/jfr3.70181	vehicle stability under unsteady flow, 2026, open question e
Sha20	10.1111/jfr3.12657	unpaywall+scrape	200	5717570	YES	https://upcommons.upc.edu/bitstreams/f5d95759-7e1b-40eb-bc5f-ee3460519277/download	non-stationary vehicle Froude, open question d
Alq22	10.1111/jfr3.12828	unpaywall	403	0	NO	https://doaj.org/article/d36599ed2ff74ea2baa9dc9811140d1a	moving vehicle in floodwater, open question d
Alq22	10.1111/jfr3.12828	unpaywall	403	0	NO	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12828	moving vehicle in floodwater, open question d
Alq22	10.1111/jfr3.12828	doi.org	403	0	NO	https://doi.org/10.1111/jfr3.12828	moving vehicle in floodwater, open question d
Hu23	10.1016/j.jhydrol.2023.129525	unpaywall	200	2733	NO	https://doi.org/10.1016/j.jhydrol.2023.129525	stability thresholds at flow orientations, open question e
Hu23	10.1016/j.jhydrol.2023.129525	doi.org	200	2733	NO	https://doi.org/10.1016/j.jhydrol.2023.129525	stability thresholds at flow orientations, open question e
Mar17	10.1080/1573062x.2017.1301501	unpaywall+scrape	200	1430317	YES	https://upcommons.upc.edu/bitstreams/bc0218b5-4234-4ccd-a7de-496033598f20/download	stability threshold methodology, open question e
Kra16	10.1016/j.ijdrr.2016.04.003	unpaywall	200	397714	NO	http://hdl.handle.net/1959.4/unsworks_55729	trafficability of inundated roads, cited by the paper
Kra16	10.1016/j.ijdrr.2016.04.003	doi.org	200	2691	NO	https://doi.org/10.1016/j.ijdrr.2016.04.003	trafficability of inundated roads, cited by the paper
Kra16	10.1016/j.ijdrr.2016.04.003	core	200	3729935	YES	https://core.ac.uk/download/156880508.pdf	trafficability of inundated roads, cited by the paper
Qiu22	10.1145/3570160	unpaywall	0	0	NO	https://www.osti.gov/servlets/purl/1923959	gigascale MPM, resolution
Qiu22	10.1145/3570160	unpaywall	403	0	NO	https://dl.acm.org/doi/pdf/10.1145/3570160	gigascale MPM, resolution
Qiu22	10.1145/3570160	doi.org	403	0	NO	https://doi.org/10.1145/3570160	gigascale MPM, resolution
Wan20d	10.1145/3386569.3392442	unpaywall	0	0	NO	https://www.osti.gov/biblio/1820872	multi-GPU MPM, resolution
Wan20d	10.1145/3386569.3392442	doi.org	403	0	NO	https://doi.org/10.1145/3386569.3392442	multi-GPU MPM, resolution
Dav24	10.20944/preprints202409.0095.v1	unpaywall	403	0	NO	http://dx.doi.org/10.20944/preprints202409.0095.v1	axisymmetric CFD heave of a spherical buoy, open question a
Dav24	10.20944/preprints202409.0095.v1	doi.org	403	0	NO	https://doi.org/10.20944/preprints202409.0095.v1	axisymmetric CFD heave of a spherical buoy, open question a
