cite_key	doi	oa_status	route	http	bytes	is_pdf	url
Jou20	10.1016/j.apm.2019.09.030	bronze	unpaywall	403	0	NO	https://www.sciencedirect.com/science/article/am/pii/S0307904X19305608?via%3Dihub
Jou20	10.1016/j.apm.2019.09.030	bronze	doi.org	200	2693	NO	https://doi.org/10.1016/j.apm.2019.09.030
Dav24	10.20944/preprints202409.0095.v1	green	unpaywall	403	0	NO	http://dx.doi.org/10.20944/preprints202409.0095.v1
Dav24	10.20944/preprints202409.0095.v1	green	doi.org	403	0	NO	https://doi.org/10.20944/preprints202409.0095.v1
Mon09	10.1016/j.cpc.2009.05.008	green	unpaywall	200	169090	NO	https://figshare.com/articles/journal_contribution/SPH_particle_boundary_forces_for_arbitrary_boundaries/22986665
Mon09	10.1016/j.cpc.2009.05.008	green	doi.org	200	2668	NO	https://doi.org/10.1016/j.cpc.2009.05.008
Cha24c	10.1016/j.jcp.2024.113457	hybrid	unpaywall	200	2741	NO	https://doi.org/10.1016/j.jcp.2024.113457
Cha24c	10.1016/j.jcp.2024.113457	hybrid	doi.org	200	2741	NO	https://doi.org/10.1016/j.jcp.2024.113457
Vau20	10.1016/bs.aams.2019.11.001	green	unpaywall	200	169624	NO	https://figshare.com/articles/journal_contribution/Material_point_method_after_25_years_Theory_implementation_and_applications/20687032
Vau20	10.1016/bs.aams.2019.11.001	green	doi.org	200	2693	NO	https://doi.org/10.1016/bs.aams.2019.11.001
Zha17	10.1016/j.proeng.2017.01.041	diamond	unpaywall+scrape	200	475140	YES	https://www.repository.cam.ac.uk/bitstreams/0dd9e794-95cc-489c-b51c-732d3353468e/download
Tho07	10.1080/14484846.2007.11464528	green	unpaywall	200	151442	NO	https://figshare.com/articles/journal_contribution/Water_Stilling_for_Towing_Tank_seakeeping_experiments/22867007
Tho07	10.1080/14484846.2007.11464528	green	doi.org	403	0	NO	https://doi.org/10.1080/14484846.2007.11464528
Gro18	10.33011/livecoms.1.1.5067	diamond	unpaywall+scrape	200	4019623	YES	https://www.bipm.org/utils/common/documents/jcgm/JCGM_200_2012.pdf
Ber21d	10.1115/1.4052402	bronze	unpaywall	403	0	NO	https://asmedigitalcollection.asme.org/turbomachinery/article-pdf/144/3/031005/6764616/turbo_144_3_031005.pdf
Ber21d	10.1115/1.4052402	bronze	doi.org	403	0	NO	https://doi.org/10.1115/1.4052402
Sya17	10.1002/aic.15868	green	unpaywall	0	0	NO	https://www.osti.gov/biblio/1440343
Sya17	10.1002/aic.15868	green	doi.org	403	0	NO	https://doi.org/10.1002/aic.15868
Alq22	10.1111/jfr3.12828	gold	unpaywall	403	0	NO	https://doaj.org/article/d36599ed2ff74ea2baa9dc9811140d1a
Alq22	10.1111/jfr3.12828	gold	unpaywall	403	0	NO	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.12828
Alq22	10.1111/jfr3.12828	gold	doi.org	403	0	NO	https://doi.org/10.1111/jfr3.12828
Mor14	10.4028/www.scientific.net/amm.592-594.1210	hybrid	unpaywall	200	69459	NO	https://doi.org/10.4028/www.scientific.net/amm.592-594.1210
Mor14	10.4028/www.scientific.net/amm.592-594.1210	hybrid	doi.org	200	69459	NO	https://doi.org/10.4028/www.scientific.net/amm.592-594.1210
Hu23	10.1016/j.jhydrol.2023.129525	hybrid	unpaywall	200	2733	NO	https://doi.org/10.1016/j.jhydrol.2023.129525
Hu23	10.1016/j.jhydrol.2023.129525	hybrid	doi.org	200	2733	NO	https://doi.org/10.1016/j.jhydrol.2023.129525
Sha19d	10.1016/j.rineng.2019.100032	gold	unpaywall+scrape	200	1092390	YES	https://upcommons.upc.edu/bitstreams/547127b9-dc18-45b3-8cf8-edbd26e836d1/download
Ran20b	10.17736/ijope.2020.jc774	green	unpaywall	200	67274	NO	https://researchportal.bath.ac.uk/en/publications/7b54644e-2399-4d9c-94fc-1107a92cead7
Ran20b	10.17736/ijope.2020.jc774	green	unpaywall	0	0	NO	https://eprints.gla.ac.uk/249391/
Ran20b	10.17736/ijope.2020.jc774	green	unpaywall	404	0	NO	http://hdl.handle.net/10026.1/15422
Ran20b	10.17736/ijope.2020.jc774	green	unpaywall	200	174493	NO	https://figshare.com/articles/journal_contribution/A_Blind_Comparative_Study_of_Focused_Wave_Interactions_with_Floating_Structures_CCP-WSI_Blind_Test_Series_3_/32543505
Ran20b	10.17736/ijope.2020.jc774	green	doi.org	403	0	NO	https://doi.org/10.17736/ijope.2020.jc774
Sha18c	10.1051/matecconf/201820307003	diamond	unpaywall	403	0	NO	https://www.matec-conferences.org/articles/matecconf/pdf/2018/62/matecconf_iccoee2018_07003.pdf
Sha18c	10.1051/matecconf/201820307003	diamond	doi.org	403	0	NO	https://doi.org/10.1051/matecconf/201820307003
Che25l	10.1016/j.apor.2025.104824	gold	unpaywall	403	0	NO	https://doaj.org/article/fe676f43e52e4cf6b4dee3ea810b3405
Che25l	10.1016/j.apor.2025.104824	gold	unpaywall	200	2692	NO	https://doi.org/10.1016/j.apor.2025.104824
Che25l	10.1016/j.apor.2025.104824	gold	doi.org	200	2692	NO	https://doi.org/10.1016/j.apor.2025.104824
Azh23	10.1111/jfr3.12885	gold	unpaywall	403	0	NO	https://doaj.org/article/8930e12c4020412a9d15c3c4ef95571d
Azh23	10.1111/jfr3.12885	gold	unpaywall	403	0	NO	https://doi.org/10.1111/jfr3.12885
Azh23	10.1111/jfr3.12885	gold	doi.org	403	0	NO	https://doi.org/10.1111/jfr3.12885
Kaz16	10.1002/fld.4248	hybrid	unpaywall	200	248273	NO	https://www.ncbi.nlm.nih.gov/pmc/articles/5175435
Kaz16	10.1002/fld.4248	hybrid	unpaywall	403	0	NO	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/fld.4248
Kaz16	10.1002/fld.4248	hybrid	doi.org	403	0	NO	https://doi.org/10.1002/fld.4248
Las09	10.1002/fld.1971	green	unpaywall	403	0	NO	https://researchrepository.universityofgalway.ie/bitstreams/7e06b007-c44d-40d9-a0d4-537ff381dd6f/download
Las09	10.1002/fld.1971	green	doi.org	403	0	NO	https://doi.org/10.1002/fld.1971
Shi19d	10.1155/2019/1573049	hybrid	unpaywall	403	0	NO	https://downloads.hindawi.com/journals/mpe/2019/1573049.pdf
Shi19d	10.1155/2019/1573049	hybrid	doi.org	403	0	NO	https://doi.org/10.1155/2019/1573049
Liu23e	10.1063/5.0174148	bronze	unpaywall	403	0	NO	https://pubs.aip.org/aip/pof/article-pdf/doi/10.1063/5.0174148/18224231/113328_1_5.0174148.pdf
Liu23e	10.1063/5.0174148	bronze	doi.org	403	0	NO	https://doi.org/10.1063/5.0174148
Beh20	10.1016/j.oceaneng.2020.107460	bronze	unpaywall	403	0	NO	https://www.sciencedirect.com/science/article/am/pii/S0029801820304790?via%3Dihub
Beh20	10.1016/j.oceaneng.2020.107460	bronze	doi.org	200	2701	NO	https://doi.org/10.1016/j.oceaneng.2020.107460
Azh26	10.1111/jfr3.70181	gold	unpaywall	403	0	NO	https://doi.org/10.1111/jfr3.70181
Azh26	10.1111/jfr3.70181	gold	doi.org	403	0	NO	https://doi.org/10.1111/jfr3.70181
Zha21g	10.1016/j.compgeo.2021.104097	green	unpaywall	200	160059	NO	https://figshare.com/articles/journal_contribution/Truncated_hierarchical_B-spline_material_point_method_for_large_deformation_geotechnical_problems/27543594
Zha21g	10.1016/j.compgeo.2021.104097	green	doi.org	200	2712	NO	https://doi.org/10.1016/j.compgeo.2021.104097
He24	10.5194/egusphere-egu24-6148	gold	unpaywall	200	151283	NO	https://doi.org/10.5194/egusphere-egu24-6148
He24	10.5194/egusphere-egu24-6148	gold	doi.org	200	151284	NO	https://doi.org/10.5194/egusphere-egu24-6148
Eva23	10.1016/j.scitotenv.2023.168237	hybrid	unpaywall	403	0	NO	https://orca.cardiff.ac.uk/id/eprint/164462/1/1-s2.0-S004896972306864X-main.pdf
Eva23	10.1016/j.scitotenv.2023.168237	hybrid	unpaywall+scrape	200	5977029	YES	https://figshare.com/articles/journal_contribution/A_combined_stability_function_to_quantify_flood_risks_to_pedestrians_and_vehicle_occupants/29806286/1/files/56852252.pdf
Das25	10.1111/jfr3.70154	gold	unpaywall	403	0	NO	https://doaj.org/article/1e224e0708c741fc81f005f60b2da874
Das25	10.1111/jfr3.70154	gold	unpaywall	403	0	NO	https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jfr3.70154
Das25	10.1111/jfr3.70154	gold	doi.org	403	0	NO	https://doi.org/10.1111/jfr3.70154
Boc21	10.1111/jfr3.12737	gold	unpaywall	403	0	NO	https://doaj.org/article/7d9b3b52680e4f15b2e90afe35f07a6a
Boc21	10.1111/jfr3.12737	gold	unpaywall+scrape	200	2696561	YES	https://riunet.upv.es/bitstreams/a809b0f0-a30e-49e0-b45c-b4661dab8c31/download
Con18	10.1155/2018/2850546	gold	unpaywall	403	0	NO	http://downloads.hindawi.com/journals/jat/2018/2850546.pdf
Con18	10.1155/2018/2850546	gold	doi.org	403	0	NO	https://doi.org/10.1155/2018/2850546
Arr19	10.3850/38wc092019-1786	green	unpaywall	403	0	NO	https://flore.unifi.it/bitstream/2158/1181254/1/322.pdf
Arr19	10.3850/38wc092019-1786	green	doi.org+scrape	200	179587	YES	https://iahr.oss-accelerate.aliyuncs.com//CommonFiles/20200130_IAHR_Terms_and_Conditions.pdf
Pre24	10.3390/wevj15060266	gold	unpaywall	403	0	NO	https://hdl.handle.net/11311/1278326
Pre24	10.3390/wevj15060266	gold	unpaywall	403	0	NO	https://doi.org/10.3390/wevj15060266
Pre24	10.3390/wevj15060266	gold	doi.org	403	0	NO	https://doi.org/10.3390/wevj15060266
Pre24	10.3390/wevj15060266	gold	core	200	3710681	YES	https://core.ac.uk/download/638782325.pdf
Far25b	10.1109/access.2025.3567868	gold	unpaywall	403	0	NO	https://doaj.org/article/f3b83678ad4040d6920cfc8d8f2fabfe
Far25b	10.1109/access.2025.3567868	gold	unpaywall	202	2055	NO	https://doi.org/10.1109/access.2025.3567868
Far25b	10.1109/access.2025.3567868	gold	doi.org	202	2055	NO	https://doi.org/10.1109/access.2025.3567868
Wan20d	10.1145/3386569.3392442	green	unpaywall	0	0	NO	https://www.osti.gov/biblio/1820872
Wan20d	10.1145/3386569.3392442	green	doi.org	403	0	NO	https://doi.org/10.1145/3386569.3392442
Qiu22	10.1145/3570160	bronze	unpaywall	0	0	NO	https://www.osti.gov/servlets/purl/1923959
Qiu22	10.1145/3570160	bronze	unpaywall	403	0	NO	https://dl.acm.org/doi/pdf/10.1145/3570160
Qiu22	10.1145/3570160	bronze	doi.org	403	0	NO	https://doi.org/10.1145/3570160
Kle19	10.2139/ssrn.3395872	green	unpaywall	403	0	NO	https://doi.org/10.2139/ssrn.3395872
Kle19	10.2139/ssrn.3395872	green	doi.org	403	0	NO	https://doi.org/10.2139/ssrn.3395872
Naf24	10.3390/computation12100207	gold	unpaywall	200	12612	NO	https://utc.hal.science/hal-04708986v1/file/Enhanced_Drag_Force_Computation2024_accepted.pdf
Naf24	10.3390/computation12100207	gold	unpaywall	403	0	NO	https://www.mdpi.com/2079-3197/12/10/207/pdf?version=1729044403
Naf24	10.3390/computation12100207	gold	doi.org	403	0	NO	https://doi.org/10.3390/computation12100207
Obe04	10.2172/918370	gold	unpaywall	0	0	NO	https://www.osti.gov/biblio/918370
Obe04	10.2172/918370	gold	unpaywall	0	0	NO	https://www.osti.gov/servlets/purl/918370
Obe04	10.2172/918370	gold	doi.org	0	0	NO	https://doi.org/10.2172/918370
Obe04	10.2172/918370	gold	core	200	675014	YES	https://core.ac.uk/download/71304984.pdf
Cel07	10.1115/1.2960953	bronze	unpaywall	403	0	NO	https://asmedigitalcollection.asme.org/fluidsengineering/article-pdf/130/7/078001/5491455/078001_1.pdf
Cel07	10.1115/1.2960953	bronze	doi.org	429	0	NO	https://doi.org/10.1115/1.2960953
Mol19	10.1016/j.ijdrr.2018.10.022	green	unpaywall	403	0	NO	http://hdl.handle.net/11311/1129212
Mol19	10.1016/j.ijdrr.2018.10.022	green	unpaywall+scrape	200	610634	YES	https://riunet.upv.es/bitstreams/748b5081-adc8-45da-90f0-bb86a7d8ebe7/download
Abe14	10.1061/(asce)gt.1943-5606.0001011	green	unpaywall	200	667210	NO	http://infoscience.epfl.ch/record/199067
Abe14	10.1061/(asce)gt.1943-5606.0001011	green	doi.org	403	0	NO	https://doi.org/10.1061/(asce)gt.1943-5606.0001011
Obe02b	10.2172/793406	gold	unpaywall	200	3357	NO	https://digital.library.unt.edu/ark:/67531/metadc734067/m2/1/high_res_d/793406.pdf
Obe02b	10.2172/793406	gold	unpaywall	0	0	NO	https://www.osti.gov/biblio/793406
Obe02b	10.2172/793406	gold	unpaywall	0	0	NO	https://www.osti.gov/servlets/purl/793406
Obe02b	10.2172/793406	gold	doi.org	0	0	NO	https://doi.org/10.2172/793406
